filename,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40
../audio/high--_gb_1.wav,-294.97617,209.6236,-8.441704,35.12525,17.323154,23.54589,-16.67222,-17.508173,-3.4898863,-27.846054,10.682261,25.53719,-0.83342403,-20.777475,-7.2430406,7.492532,-1.4307075,-4.653656,-5.8410764,-7.162265,-13.383944,-2.788033,1.305474,-9.523372,-4.318904,0.3235005,-5.8262496,-17.51958,-8.311132,2.5882313,-1.7315757,2.76834,4.272222,-1.226973,-4.0968695,-2.5402217,2.8624046,7.6892123,1.6691085,-2.4097013
../audio/high--_gb_1.wav,-321.5347,206.88158,7.618555,44.50901,29.929043,26.0075,-18.956558,-21.04726,6.8542147,-23.185163,-0.7764125,27.11348,0.171808,-25.702675,-4.453076,11.569864,-2.992084,-2.4720387,-2.3463545,-7.624692,-9.081676,-0.33687764,0.56958246,-7.075066,0.5987796,2.0076113,-5.694346,-15.141035,-6.9449067,5.2797813,-2.8485184,1.7257459,5.7147536,-0.4070457,-2.8402197,-3.808076,5.5273733,7.05616,-0.009957373,0.38242245
../audio/high--_gb_1.wav,-348.9998,195.82794,20.500004,51.128777,40.71279,29.115974,-27.988876,-17.051403,17.671795,-21.121284,-8.169813,21.482922,3.5911336,-25.769497,-4.7158403,16.0483,-3.5693893,-3.7473683,-0.25776106,-5.5926304,-7.1917706,0.083974004,-0.956485,-8.857243,0.77336097,2.6746192,-9.520922,-20.010439,-6.4374294,9.131584,-2.5531423,-2.7547107,4.9021463,0.5644691,-3.778649,-2.2076943,6.5076065,7.4352393,-1.6510575,1.4183387
../audio/high--_gb_1.wav,-371.0548,180.72455,28.046787,61.203773,51.622036,36.873848,-30.080666,-19.344828,16.44226,-17.021223,-7.789632,13.389486,4.5515423,-18.906582,-3.0822957,14.478386,-4.647787,-7.473378,0.27338147,2.3412147,-5.807053,-1.991022,2.0681176,-6.900637,1.6308329,6.1423345,-13.912186,-25.163063,-2.3075132,7.773969,-5.291814,-0.28494298,6.991721,1.3093042,-4.2251997,-3.3064697,7.0192566,13.05221,-1.1800939,-0.15980425
../audio/high--_gb_1.wav,-398.52155,157.16632,30.213825,72.244934,61.77603,49.475967,-19.74414,-22.684853,8.157804,-13.50097,-6.379551,3.8778374,-0.4316184,-12.304745,3.919976,14.634108,-1.479282,-7.787489,-6.755007,1.6183631,-4.0512433,-0.2300036,3.2133203,-8.308295,2.6710658,6.8527174,-15.395402,-22.414207,-1.0605848,-0.19599605,-12.21331,-3.2994475,8.469255,8.538806,-2.8296556,-2.590834,9.191048,8.816797,-3.678277,-2.268587
../audio/high--_gb_1.wav,-428.61908,141.47324,38.052,75.27084,63.470215,53.88182,-7.911916,-12.402063,6.699767,-20.078274,-8.738514,3.0727391,-1.0975363,-6.1622305,9.4146595,12.280934,-5.2987876,-5.5067797,-3.482944,-1.0700424,-7.755563,-3.7602525,1.5486474,-6.8355455,2.7095346,5.8272057,-13.610931,-21.085629,-4.3312573,-1.0868399,-13.275576,-8.093281,10.641196,14.771444,-0.6740532,-0.252932,10.9068165,5.9291754,-6.1719265,-3.7172396
../audio/high--_gb_1.wav,-456.93738,121.33827,45.65329,80.67703,52.121506,49.281544,1.9422904,-4.517879,13.345507,-16.727022,-8.162036,3.2045517,-0.13386798,-3.0711646,3.4047036,3.221498,-8.88637,-2.9647305,5.045085,4.536603,-6.0502205,-7.786167,-4.8514776,-7.793514,-0.56294894,0.38091195,-11.470255,-18.611805,-5.089526,2.6457434,-10.825684,-7.6241336,7.851041,7.9578805,2.5610147,4.1184864,7.4705467,4.1254354,-7.7383637,-4.279813
../audio/high--_gb_1.wav,-478.66257,106.980675,43.962517,77.68022,50.081543,47.948242,4.050004,-5.930458,19.555117,1.5891635,4.5322037,8.065818,-1.0067118,-2.9857168,2.8659058,3.1844718,-4.142724,-7.639515,-2.932651,3.385843,-2.8194506,-2.144164,-2.979914,-7.8551793,-5.260067,-6.8699656,-9.077066,-12.609994,-3.7748294,4.3945637,-6.5429096,-2.29386,9.43927,2.526815,1.970434,7.6625752,4.6403513,0.7470888,-7.5511503,-2.4024897
../audio/high--_gb_1.wav,-492.59564,100.89557,36.86818,65.70526,51.581665,43.274876,-0.81587136,-5.402808,17.262634,6.931283,8.735339,7.9482327,2.7207232,-0.21132529,2.7896807,0.5301894,-4.13652,-7.075886,-9.033923,-1.5745759,-2.4212253,-2.5883045,-2.9742277,0.2089752,2.5570643,-6.077908,-8.574911,-14.902638,-5.770043,5.8494787,-5.011508,-2.9974077,4.506297,2.854581,0.35622394,-0.37397152,6.059288,6.1468754,-4.484007,-4.0643196
../audio/high--_gb_1.wav,-501.18268,98.31994,30.03341,50.02237,41.0518,30.45263,-1.3091412,0.75766325,15.85371,12.724756,9.540716,0.6242519,1.8782258,0.65930974,5.724472,3.4184098,-8.518111,-13.6561985,-9.045341,-0.44208694,-2.0765986,3.766026,-1.0037309,2.4587238,11.629713,-4.963959,-8.15034,-7.0118237,0.7105178,8.672454,-1.1022431,-1.3507915,-0.34528068,1.9469707,0.6350332,-5.8588924,2.4357653,6.567076,-4.920703,-9.529709
