filename,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,rmse,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
high,1247.320252530738,1182.491267906419,2824.21875,0.13720703125,0.0005051144,-674.233,26.054047,21.152359,16.308418,12.776546,9.619875,5.758729,1.7197198,-1.0729122,-2.117354,-2.1659389,-1.9068344,-1.1745863,0.20973255,1.5127126,1.7603198,1.123392,0.7989178,1.2610074,1.3270705
high,1335.1194535990885,1221.8758671654375,2871.09375,0.08642578125,8.8807e-05,-688.1601,8.412804,8.181799,7.8093224,7.31324,6.7168,6.047039,5.332983,4.6037874,3.8869386,3.2067277,2.5829964,2.0303366,1.5577469,1.1686765,0.8615509,0.6305454,0.46668905,0.35885277,0.29501447
ordinary,644.5190996381311,595.6285866032224,855.46875,0.08154296875,0.046235323,-321.72906,136.22858,4.958359,-53.130917,-40.13861,-13.225295,-18.623943,-20.925907,-40.11252,2.3249822,-25.617144,5.9386344,-15.213061,-3.0847445,-5.154003,-4.48004,-17.571777,-2.597951,-8.9572,4.3440924
ordinary,793.4961477430207,606.5673612097765,1152.34375,0.12744140625,0.0513452,-198.59187,110.99254,-56.01837,-43.234314,-17.728727,-24.962029,-17.641083,-24.778217,-35.794807,8.958061,-23.059683,0.049449652,-5.8380547,-5.26521,-11.237665,-3.2185678,-11.384291,-6.255889,-9.47029,8.352143
ordinary,908.8518256880727,608.3061593053111,1386.71875,0.15625,0.05072237,-154.2844,95.5326,-84.683655,-26.214401,-0.57377267,-39.441124,-20.80013,-9.873421,-37.2933,4.4654574,-19.162813,3.8336713,-4.5894017,-6.024762,-8.8190975,-0.35377926,-6.8591175,-9.155026,-6.7728095,6.306655
ordinary,964.6873970379719,626.8525417735814,1507.8125,0.13623046875,0.0506608,-197.1559,91.5164,-82.007034,0.13064441,12.276321,-46.361286,-33.092403,2.0637448,-47.915337,-4.71042,-21.241964,-0.6289353,-8.965981,-7.5053077,-7.6174784,-1.5962938,-3.8590999,-11.27999,-2.6695333,1.473463
ordinary,814.6072837179547,657.8646128436761,1492.1875,0.115234375,0.04098721,-289.42065,110.87207,-58.43234,24.807873,-10.409896,-36.261116,-42.98029,14.306995,-52.36887,-22.919666,-17.15129,-7.858994,-13.4887905,-4.1917634,-9.354148,-2.7531695,-3.432954,-13.357113,-4.173445,-6.323826
ordinary,820.0280253996373,859.3924331267732,1765.625,0.1162109375,0.020189734,-282.66156,83.81871,-7.7882595,15.304567,-37.995586,-6.966788,-23.690434,5.9957633,-47.114006,-3.6078374,-20.604027,-3.6745987,-3.0362911,-1.7842357,-16.51156,0.06680286,-2.9937015,-0.58584696,-12.469906,-5.3912115
ordinary,1366.2503770451763,1077.7475626267114,2722.65625,0.1552734375,0.022780996,-213.69983,34.341766,18.807339,16.17628,-61.052773,-3.7539203,-19.000134,-2.4292517,-31.17746,7.373832,-16.042843,6.1195154,-0.54481864,-1.0787342,-15.773339,2.2732239,-11.339842,3.3565536,-2.1492279,-7.012849
ordinary,1447.841655693015,1042.6668078273456,2660.15625,0.19873046875,0.023066148,-181.60037,23.909073,13.640215,16.979092,-69.09607,-9.593462,-14.333032,-6.762159,-21.360126,11.370865,-11.0511055,5.389885,-5.4802175,0.2772721,-15.771452,1.6238077,-9.829847,4.416349,-0.56909275,-8.129969
ordinary,1337.456805988502,922.0142213241502,2304.6875,0.255859375,0.024079101,-190.90182,30.08279,-16.73346,26.265041,-61.830948,-27.047882,-6.955489,-6.6134844,-20.51996,5.03335,-7.795761,-0.19833225,-14.468054,-0.1186865,-17.312824,-1.0638297,-6.253664,-0.39630035,-3.2998533,-5.5581236
ordinary,1190.399071764798,759.7293861369443,1867.1875,0.25830078125,0.021555753,-242.10811,52.638134,-44.15053,46.385574,-42.514496,-50.386356,-2.0430975,-8.363524,-18.86204,2.8087635,-5.285847,-3.5507727,-13.730017,-5.2395377,-14.703869,-6.656805,-2.489358,-1.1690574,-7.258588,-6.2649455
ordinary,1374.9596456744034,896.7721730766369,2320.3125,0.2685546875,0.018156936,-246.90005,19.989893,-18.215622,47.566784,-46.138435,-35.8011,-22.006786,-0.70155,-30.54902,6.350547,-6.4814334,-4.4941845,-13.202582,2.0842025,-13.455644,-2.9342186,-9.888312,0.61695486,-12.238632,-7.6714306
ordinary,1656.9680549647342,1102.5634314898211,2902.34375,0.28076171875,0.014693452,-275.76794,0.9080096,29.02029,38.61534,-54.583656,-15.171194,-25.859207,-4.4407415,-35.974243,2.839766,-19.915354,-0.14655006,-10.339048,4.8214836,-13.025344,-3.2027454,-11.405342,1.9565152,-14.8202915,-5.760914
ordinary,1780.3713954176833,1203.4433253063996,3070.3125,0.2060546875,0.009735329,-348.27438,7.235651,69.20021,14.334317,-54.260563,6.4463496,-20.987175,-6.0880165,-23.798801,-6.7443514,-26.880009,-0.12524104,-9.388124,0.5228708,-5.220207,-4.1785593,-9.228325,-1.6423849,-12.596121,-5.94485
ordinary,1755.461323072723,1258.3546472519924,3089.84375,0.15673828125,0.0061844885,-453.3615,19.40899,91.46535,7.4300575,-44.953545,17.160686,-9.030599,2.0762389,-13.361891,-14.058275,-15.167175,-1.7272983,-11.640568,4.8900313,-3.2708502,-9.0957775,-6.3537703,-7.16576,-6.4947095,-3.7317593
high,1388.6290559879963,900.1963505796683,2210.9375,0.12841796875,0.01406077,-305.36685,35.53623,-45.397415,5.3376956,-12.707659,-29.804317,7.1000557,-1.8886844,-8.669491,-21.572746,-30.289854,-0.6737258,1.29202,10.561834,-4.4001517,5.889263,8.269273,1.6802224,0.90518796,-4.8700933
high,1419.8184067648285,918.0740072789957,2292.96875,0.1787109375,0.0701788,-193.40868,31.741829,-49.73094,1.47928,-9.814135,-29.532236,6.9279943,-8.477221,-17.23247,-13.659561,-31.576756,-12.194948,-8.624721,7.611876,-10.394806,-2.2987213,-4.5287313,-6.609527,0.082218885,-14.471296
high,958.3019176012665,734.3683049633697,1566.40625,0.2099609375,0.11427158,-70.47415,82.831955,-69.87087,-23.770788,-9.033099,-34.191994,-5.465925,-15.030077,-27.52307,-16.731077,-29.322533,-15.5791,-19.098793,-0.46350652,-16.903679,-10.514893,-14.932444,-16.957832,-0.7852088,-15.424613
high,864.9273515351927,648.0193582491337,1410.15625,0.181640625,0.1409989,-19.935263,103.116776,-78.73093,-26.846048,-7.968726,-39.54358,-13.97595,-12.11197,-28.032452,-20.117056,-30.521164,-14.702459,-23.179192,-0.39925838,-18.270702,-12.774164,-16.766277,-19.59732,-5.143289,-15.629782
high,849.7157887365425,657.991422123981,1433.59375,0.12353515625,0.16228022,-23.888414,102.35693,-78.24994,-22.71935,-9.278736,-42.91099,-10.9112835,-11.898874,-24.971882,-14.988373,-29.544733,-11.46713,-21.378366,1.327896,-17.720394,-9.121685,-18.984966,-17.665684,-8.067602,-16.33919
high,908.6961341305475,728.3963789001576,1625.0,0.08203125,0.15945223,-49.60531,73.92107,-71.186516,-10.950321,-22.570282,-23.029982,1.3379519,-7.584773,-15.276375,-10.146389,-23.386133,-8.167614,-18.7958,4.6228585,-17.46167,-2.947778,-16.74313,-13.841583,-5.5437603,-10.011599
high,876.2326842315957,838.2807396482598,1828.125,0.0595703125,0.13577823,-128.02332,57.18076,-24.536095,3.8919482,-33.780487,-6.548937,5.5108314,-4.0077324,-8.437243,-7.87862,-20.163275,-7.400962,-15.927115,2.5615835,-20.14964,1.7371339,-16.320255,-12.213462,-8.727808,-4.7287307
high,555.1781979537029,760.9005908358823,699.21875,0.0478515625,0.10784043,-269.48352,86.81853,65.81712,-9.024416,-46.268257,-11.39896,-15.783632,-1.4914736,-7.418302,-6.517786,-20.685478,-10.413513,-12.385551,-5.1155767,-28.054996,-6.2603784,-17.617966,-14.093111,-12.303665,-7.255659
high,475.39586012520726,776.2439327951101,554.6875,0.041015625,0.07128424,-371.47705,101.10161,85.09523,-9.075758,-22.339512,-24.10154,-15.960436,4.880822,-17.199482,7.3361197,-20.2273,-11.432224,-15.627552,-9.846016,-24.473871,-12.604653,-13.817613,-18.987007,-9.657391,-9.367039
high,617.3519394295637,934.9355878046466,1148.4375,0.0419921875,0.03420231,-462.35547,89.08593,61.21494,-2.227603,-11.525684,-5.8324766,-3.584271,15.12342,-7.1680994,10.573402,-8.196257,-8.387161,-19.639002,-7.890413,-21.484144,-6.361459,-6.8091764,-13.035462,-3.9789362,-5.7320795
